shop_id,zip_id,shop_name,shop_address
1,1,Turks Head Cafe,111 N Church St
2,1,Gryphon Cafe,111 W Gay St
3,2,Small World Coffee,14 Witherspoon St
4,2,The Coffee Club,5 Prospect Ave
